bulk_id,slab_millers,slab_shift,slab_comp,top,slab_identifier,Ametal,Bmetal,Cmetal,surface_energy,Cost,DFT_ads_E,symbol,AandB,reaction_type,activity_pathway,optimal_energy,activity_width,source_file,processed_date,ascicat_version,bimetallic_filtered
mp-1649_H_0_110,110,,,,,Fe,Pt,,2.741016852683747,7676.8700375,-0.29594434,Fe3Pt,Fe-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-20971_H_0_110,110,,,,,Pt,Sn,,1.3798659673609843,23038.0455125,-0.1106465,SnPt3,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-265_H_0_110,110,,,,,Ir,Ta,,2.981379770127845,102568.165,-0.27636881,TaIr3,Ir-Ta,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-649_H_0_110,110,,,,,Fe,Pt,,1.8796612572856632,23030.4100125,-0.29361635,FePt3,Fe-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-922_H_0_110,110,,,,,Co,Pt,,1.8217212975837789,23038.809965,-0.33814362,CoPt3,Co-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-976847_H_0_110,110,,,,,Ni,Sb,,1.3633372294469126,19.12411,-0.38971604,Ni3Sb,Ni-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-999543_H_0_110,110,,,,,Co,Mn,,2.760451717663064,25.2908075,-0.35129912,MnCo3,Co-Mn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-30788_H_0_110,110,,,,,Mo,Sn,,2.289443157487141,54.1163225,-0.10641572,Sn2Mo6,Mo-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1185931_H_1_110,110,,,,,Mn,Pt,,2.6206120043004866,7676.8427375,-0.3596025,Mn6Pt2,Mn-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1189793_H_0_110,110,,,,,Pt,Ti,,2.02115133092808,23032.092930000003,-0.38157045,Ti4Pt12,Pt-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1207123_H_0_110,110,,,,,Nb,Sb,,1.2693267902561558,54.835764999999995,-0.10558666,Nb2Sb2,Nb-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-13138_H_1_110,110,,,,,Cu,Sn,,0.8183737217358753,15.4369325,-0.20526428,Cu6Sn2,Cu-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-13138_H_2_110,110,,,,,Cu,Sn,,0.8360542288747876,15.4369325,-0.24812978,Cu6Sn2,Cu-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-19856_H_0_110,110,,,,,Pt,Sn,,0.8700026901406995,15368.911025,-0.24397403,Sn2Pt2,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-30846_H_0_110,110,,,,,Pt,Sn,,0.6934930464557473,12301.25723,-0.13023442,Sn6Pt4,Pt-Sn,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-810_H_0_110,110,,,,,Ni,Sb,,0.7874967661318009,22.50325,-0.13558148,Ni2Sb2,Ni-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-972220_H_0_110,110,,,,,Pt,Ti,,2.0169047254976635,23032.092930000003,-0.36266554,Ti2Pt6,Pt-Ti,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-976893_H_0_110,110,,,,,Ni,Sb,,1.3559026261090326,19.12411,-0.34125687,Ni6Sb2,Ni-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1225695_H_1_110,110,,,,,Cu,Ni,,1.7201500738571105,13.056765,-0.39195918,CuNi,Cu-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-1225698_H_1_110,110,,,,,Cu,Ni,,1.4674136323920812,11.7126625,-0.36906741,Cu3Ni,Cu-Ni,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-11514_H_0_110,110,,,,,Nb,Pt,,1.6670693329959625,20498.25666666666,-0.33916334,NbPt2,Nb-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-952_H_0_110,110,,,,,Mo,Pt,,1.8061976613517865,20492.100359999993,-0.37196734,MoPt2,Mo-Pt,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-20900_H_0_110,110,,,,,Cu,Sb,,0.609531294945055,15.0918025,-0.31887671,Cu6Sb2,Cu-Sb,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-30850_H_2_110,110,,,,,Pt,Ta,,2.0630555243327184,23118.0475,-0.24481237,Ta2Pt6,Pt-Ta,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
mp-30850_H_3_110,110,,,,,Pt,Ta,,2.179145393589512,23118.0475,-0.33424847,Ta2Pt6,Pt-Ta,HER,H_adsorption,-0.27,0.15,,2025-10-28,ASCICat-v1.0,True
